"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2019",1.47988,
"AUS","PPP","TOT","NATUSD","A","2020",1.453958,
"AUS","PPP","TOT","NATUSD","A","2021",1.447578,
"AUS","PPP","TOT","NATUSD","A","2022",1.446332,
"AUT","PPP","TOT","NATUSD","A","2019",0.749138,
"AUT","PPP","TOT","NATUSD","A","2020",0.746311,
"AUT","PPP","TOT","NATUSD","A","2021",0.756308,
"AUT","PPP","TOT","NATUSD","A","2022",0.71893,
"BEL","PPP","TOT","NATUSD","A","2019",0.746601,
"BEL","PPP","TOT","NATUSD","A","2020",0.730278,
"BEL","PPP","TOT","NATUSD","A","2021",0.736686,
"BEL","PPP","TOT","NATUSD","A","2022",0.713938,
"CAN","PPP","TOT","NATUSD","A","2019",1.234717,
"CAN","PPP","TOT","NATUSD","A","2020",1.231061,
"CAN","PPP","TOT","NATUSD","A","2021",1.238156,
"CAN","PPP","TOT","NATUSD","A","2022",1.253835,
"CZE","PPP","TOT","NATUSD","A","2019",12.274474,
"CZE","PPP","TOT","NATUSD","A","2020",12.461058,
"CZE","PPP","TOT","NATUSD","A","2021",12.742986,
"CZE","PPP","TOT","NATUSD","A","2022",12.723595,
"DNK","PPP","TOT","NATUSD","A","2019",6.634081,
"DNK","PPP","TOT","NATUSD","A","2020",6.551107,
"DNK","PPP","TOT","NATUSD","A","2021",6.589808,
"DNK","PPP","TOT","NATUSD","A","2022",6.31981,
"FIN","PPP","TOT","NATUSD","A","2019",0.838421,
"FIN","PPP","TOT","NATUSD","A","2020",0.823022,
"FIN","PPP","TOT","NATUSD","A","2021",0.82669,
"FIN","PPP","TOT","NATUSD","A","2022",0.80248,
"FRA","PPP","TOT","NATUSD","A","2019",0.716286,
"FRA","PPP","TOT","NATUSD","A","2020",0.71036,
"FRA","PPP","TOT","NATUSD","A","2021",0.718667,
"FRA","PPP","TOT","NATUSD","A","2022",0.692756,
"DEU","PPP","TOT","NATUSD","A","2019",0.728249,
"DEU","PPP","TOT","NATUSD","A","2020",0.725002,
"DEU","PPP","TOT","NATUSD","A","2021",0.736277,
"DEU","PPP","TOT","NATUSD","A","2022",0.719944,
"GRC","PPP","TOT","NATUSD","A","2019",0.548889,
"GRC","PPP","TOT","NATUSD","A","2020",0.544068,
"GRC","PPP","TOT","NATUSD","A","2021",0.545545,
"GRC","PPP","TOT","NATUSD","A","2022",0.52849,
"HUN","PPP","TOT","NATUSD","A","2019",140.828438,
"HUN","PPP","TOT","NATUSD","A","2020",145.351046,
"HUN","PPP","TOT","NATUSD","A","2021",154.748155,
"HUN","PPP","TOT","NATUSD","A","2022",161.240338,
"ISL","PPP","TOT","NATUSD","A","2019",140.697258,
"ISL","PPP","TOT","NATUSD","A","2020",146.668369,
"ISL","PPP","TOT","NATUSD","A","2021",149.679879,
"ISL","PPP","TOT","NATUSD","A","2022",148.660051,
"IRL","PPP","TOT","NATUSD","A","2019",0.805766,
"IRL","PPP","TOT","NATUSD","A","2020",0.796081,
"IRL","PPP","TOT","NATUSD","A","2021",0.794732,
"IRL","PPP","TOT","NATUSD","A","2022",0.76562,
"ITA","PPP","TOT","NATUSD","A","2019",0.656771,
"ITA","PPP","TOT","NATUSD","A","2020",0.647709,
"ITA","PPP","TOT","NATUSD","A","2021",0.64754,
"ITA","PPP","TOT","NATUSD","A","2022",0.61742,
"JPN","PPP","TOT","NATUSD","A","2019",104.225919,
"JPN","PPP","TOT","NATUSD","A","2020",102.4277,
"JPN","PPP","TOT","NATUSD","A","2021",102.050113,
"JPN","PPP","TOT","NATUSD","A","2022",95.214288,
"KOR","PPP","TOT","NATUSD","A","2019",856.426215,
"KOR","PPP","TOT","NATUSD","A","2020",837.672834,
"KOR","PPP","TOT","NATUSD","A","2021",854.096091,
"KOR","PPP","TOT","NATUSD","A","2022",815.562523,
"LUX","PPP","TOT","NATUSD","A","2019",0.841567,
"LUX","PPP","TOT","NATUSD","A","2020",0.856249,
"LUX","PPP","TOT","NATUSD","A","2021",0.858861,
"LUX","PPP","TOT","NATUSD","A","2022",0.831502,
"MEX","PPP","TOT","NATUSD","A","2019",9.663256,
"MEX","PPP","TOT","NATUSD","A","2020",10.039837,
"MEX","PPP","TOT","NATUSD","A","2021",10.40177,
"MEX","PPP","TOT","NATUSD","A","2022",10.57619,
"NLD","PPP","TOT","NATUSD","A","2019",0.778559,
"NLD","PPP","TOT","NATUSD","A","2020",0.763397,
"NLD","PPP","TOT","NATUSD","A","2021",0.769964,
"NLD","PPP","TOT","NATUSD","A","2022",0.749166,
"NZL","PPP","TOT","NATUSD","A","2019",1.416711,
"NZL","PPP","TOT","NATUSD","A","2020",1.413618,
"NZL","PPP","TOT","NATUSD","A","2021",1.45911,
"NZL","PPP","TOT","NATUSD","A","2022",1.442306,
"NOR","PPP","TOT","NATUSD","A","2019",9.619909,
"NOR","PPP","TOT","NATUSD","A","2020",9.879879,
"NOR","PPP","TOT","NATUSD","A","2021",9.512157,
"NOR","PPP","TOT","NATUSD","A","2022",10.739663,
"POL","PPP","TOT","NATUSD","A","2019",1.723415,
"POL","PPP","TOT","NATUSD","A","2020",1.746574,
"POL","PPP","TOT","NATUSD","A","2021",1.822844,
"POL","PPP","TOT","NATUSD","A","2022",1.866253,
"PRT","PPP","TOT","NATUSD","A","2019",0.558747,
"PRT","PPP","TOT","NATUSD","A","2020",0.557087,
"PRT","PPP","TOT","NATUSD","A","2021",0.567658,
"PRT","PPP","TOT","NATUSD","A","2022",0.549982,
"SVK","PPP","TOT","NATUSD","A","2019",0.517531,
"SVK","PPP","TOT","NATUSD","A","2020",0.519942,
"SVK","PPP","TOT","NATUSD","A","2021",0.533391,
"SVK","PPP","TOT","NATUSD","A","2022",0.533598,
"ESP","PPP","TOT","NATUSD","A","2019",0.612972,
"ESP","PPP","TOT","NATUSD","A","2020",0.621337,
"ESP","PPP","TOT","NATUSD","A","2021",0.625949,
"ESP","PPP","TOT","NATUSD","A","2022",0.596215,
"SWE","PPP","TOT","NATUSD","A","2019",8.709642,
"SWE","PPP","TOT","NATUSD","A","2020",8.668483,
"SWE","PPP","TOT","NATUSD","A","2021",8.721548,
"SWE","PPP","TOT","NATUSD","A","2022",8.666219,
"CHE","PPP","TOT","NATUSD","A","2019",1.150402,
"CHE","PPP","TOT","NATUSD","A","2020",1.13567,
"CHE","PPP","TOT","NATUSD","A","2021",1.106428,
"CHE","PPP","TOT","NATUSD","A","2022",1.065937,
"TUR","PPP","TOT","NATUSD","A","2019",1.864012,
"TUR","PPP","TOT","NATUSD","A","2020",2.1642,
"TUR","PPP","TOT","NATUSD","A","2021",2.807879,
"TUR","PPP","TOT","NATUSD","A","2022",5.035388,
"GBR","PPP","TOT","NATUSD","A","2019",0.679466,
"GBR","PPP","TOT","NATUSD","A","2020",0.685567,
"GBR","PPP","TOT","NATUSD","A","2021",0.676658,
"GBR","PPP","TOT","NATUSD","A","2022",0.663595,
"USA","PPP","TOT","NATUSD","A","2019",1,
"USA","PPP","TOT","NATUSD","A","2020",1,
"USA","PPP","TOT","NATUSD","A","2021",1,
"USA","PPP","TOT","NATUSD","A","2022",1,
"BRA","PPP","TOT","NATUSD","A","2019",2.279669,
"BRA","PPP","TOT","NATUSD","A","2020",2.368305,
"BRA","PPP","TOT","NATUSD","A","2021",2.526131,
"BRA","PPP","TOT","NATUSD","A","2022",2.530068,
"CHL","PPP","TOT","NATUSD","A","2019",401.613482,
"CHL","PPP","TOT","NATUSD","A","2020",418.445995,
"CHL","PPP","TOT","NATUSD","A","2021",435.156175,
"CHL","PPP","TOT","NATUSD","A","2022",437.561854,
"CHN","PPP","TOT","NATUSD","A","2019",4.20834,
"CHN","PPP","TOT","NATUSD","A","2020",4.178659,
"CHN","PPP","TOT","NATUSD","A","2021",4.187342,
"CHN","PPP","TOT","NATUSD","A","2022",4.021865,
"COL","PPP","TOT","NATUSD","A","2019",1330.757328,
"COL","PPP","TOT","NATUSD","A","2020",1297.100384,
"COL","PPP","TOT","NATUSD","A","2021",1353.37981,
"COL","PPP","TOT","NATUSD","A","2022",1440.025311,
"EST","PPP","TOT","NATUSD","A","2019",0.536428,
"EST","PPP","TOT","NATUSD","A","2020",0.523753,
"EST","PPP","TOT","NATUSD","A","2021",0.543421,
"EST","PPP","TOT","NATUSD","A","2022",0.569293,
"IND","PPP","TOT","NATUSD","A","2019",21.073227,
"IND","PPP","TOT","NATUSD","A","2020",21.988508,
"IND","PPP","TOT","NATUSD","A","2021",23.215293,
"IND","PPP","TOT","NATUSD","A","2022",24.059486,
"IDN","PPP","TOT","NATUSD","A","2019",4752.310403,
"IDN","PPP","TOT","NATUSD","A","2020",4675.215536,
"IDN","PPP","TOT","NATUSD","A","2021",4758.700957,
"IDN","PPP","TOT","NATUSD","A","2022",4934.262314,
"ISR","PPP","TOT","NATUSD","A","2019",3.87061,
"ISR","PPP","TOT","NATUSD","A","2020",3.83848,
"ISR","PPP","TOT","NATUSD","A","2021",3.824142,
"ISR","PPP","TOT","NATUSD","A","2022",3.733137,
"RUS","PPP","TOT","NATUSD","A","2019",24.838261,
"RUS","PPP","TOT","NATUSD","A","2020",24.492859,
"RUS","PPP","TOT","NATUSD","A","2021",27.245891,
"RUS","PPP","TOT","NATUSD","A","2022",28.80409,
"SVN","PPP","TOT","NATUSD","A","2019",0.552156,
"SVN","PPP","TOT","NATUSD","A","2020",0.547199,
"SVN","PPP","TOT","NATUSD","A","2021",0.563187,
"SVN","PPP","TOT","NATUSD","A","2022",0.551638,
"ZAF","PPP","TOT","NATUSD","A","2019",6.694147,
"ZAF","PPP","TOT","NATUSD","A","2020",6.990961,
"ZAF","PPP","TOT","NATUSD","A","2021",7.129474,
"ZAF","PPP","TOT","NATUSD","A","2022",6.981046,
"LVA","PPP","TOT","NATUSD","A","2019",0.486824,
"LVA","PPP","TOT","NATUSD","A","2020",0.482772,
"LVA","PPP","TOT","NATUSD","A","2021",0.508965,
"LVA","PPP","TOT","NATUSD","A","2022",0.50925,
"LTU","PPP","TOT","NATUSD","A","2019",0.438134,
"LTU","PPP","TOT","NATUSD","A","2020",0.443761,
"LTU","PPP","TOT","NATUSD","A","2021",0.457769,
"LTU","PPP","TOT","NATUSD","A","2022",0.478849,
"SAU","PPP","TOT","NATUSD","A","2019",1.795289,
"SAU","PPP","TOT","NATUSD","A","2020",1.619635,
"SAU","PPP","TOT","NATUSD","A","2021",1.784958,
"EA19","PPP","TOT","NATUSD","A","2019",0.695402,
"EA19","PPP","TOT","NATUSD","A","2020",0.692448,
"EA19","PPP","TOT","NATUSD","A","2021",0.699479,
"EA19","PPP","TOT","NATUSD","A","2022",0.684035,
"ARG","PPP","TOT","NATUSD","A","2019",20.854851,
"ARG","PPP","TOT","NATUSD","A","2020",28.864934,
"ARG","PPP","TOT","NATUSD","A","2021",42.720786,
"CRI","PPP","TOT","NATUSD","A","2019",329.111783,
"CRI","PPP","TOT","NATUSD","A","2020",328.3749,
"CRI","PPP","TOT","NATUSD","A","2021",343.71626,
"CRI","PPP","TOT","NATUSD","A","2022",346.565157,
"BGR","PPP","TOT","NATUSD","A","2019",0.685703,
"BGR","PPP","TOT","NATUSD","A","2020",0.687358,
"BGR","PPP","TOT","NATUSD","A","2021",0.719135,
"BGR","PPP","TOT","NATUSD","A","2022",0.752397,
"HRV","PPP","TOT","NATUSD","A","2019",0.426624,
"HRV","PPP","TOT","NATUSD","A","2020",0.419851,
"HRV","PPP","TOT","NATUSD","A","2021",0.432278,
"HRV","PPP","TOT","NATUSD","A","2022",0.428826,
"CYP","PPP","TOT","NATUSD","A","2019",0.596707,
"CYP","PPP","TOT","NATUSD","A","2020",0.592581,
"CYP","PPP","TOT","NATUSD","A","2021",0.600921,
"CYP","PPP","TOT","NATUSD","A","2022",0.586703,
"MLT","PPP","TOT","NATUSD","A","2019",0.571788,
"MLT","PPP","TOT","NATUSD","A","2020",0.569044,
"MLT","PPP","TOT","NATUSD","A","2021",0.579067,
"MLT","PPP","TOT","NATUSD","A","2022",0.566533,
"ROU","PPP","TOT","NATUSD","A","2019",1.660742,
"ROU","PPP","TOT","NATUSD","A","2020",1.661226,
"ROU","PPP","TOT","NATUSD","A","2021",1.712335,
"ROU","PPP","TOT","NATUSD","A","2022",1.750541,
"MKD","PPP","TOT","NATUSD","A","2019",18.523246,
"MKD","PPP","TOT","NATUSD","A","2020",18.641518,
"MKD","PPP","TOT","NATUSD","A","2021",19.021869,
"ZMB","PPP","TOT","NATUSD","A","2019",4.650791,
"ZMB","PPP","TOT","NATUSD","A","2020",5.226975,
"ZMB","PPP","TOT","NATUSD","A","2021",6.402819,
"HKG","PPP","TOT","NATUSD","A","2019",6.101326,
"HKG","PPP","TOT","NATUSD","A","2020",6.067352,
"HKG","PPP","TOT","NATUSD","A","2021",5.874937,
"MDG","PPP","TOT","NATUSD","A","2019",1121.767492,
"MDG","PPP","TOT","NATUSD","A","2020",1156.19367,
"MDG","PPP","TOT","NATUSD","A","2021",1192.178709,
"MAR","PPP","TOT","NATUSD","A","2019",3.955536,
"MAR","PPP","TOT","NATUSD","A","2020",3.941947,
"MAR","PPP","TOT","NATUSD","A","2021",3.859583,
"SGP","PPP","TOT","NATUSD","A","2019",0.876752,
"SGP","PPP","TOT","NATUSD","A","2020",0.840563,
"SGP","PPP","TOT","NATUSD","A","2021",0.839572,
"EU27_2020","PPP","TOT","NATUSD","A","2019",0.659787,
"EU27_2020","PPP","TOT","NATUSD","A","2020",0.655107,
"EU27_2020","PPP","TOT","NATUSD","A","2021",0.663146,
"EU27_2020","PPP","TOT","NATUSD","A","2022",0.648504,
"ALB","PPP","TOT","NATUSD","A","2019",41.144098,
"ALB","PPP","TOT","NATUSD","A","2020",41.281216,
"ALB","PPP","TOT","NATUSD","A","2021",42.512743,
"SRB","PPP","TOT","NATUSD","A","2019",40.229964,
"SRB","PPP","TOT","NATUSD","A","2020",40.798796,
"SRB","PPP","TOT","NATUSD","A","2021",42.392183,
"GEO","PPP","TOT","NATUSD","A","2019",0.84749,
"GEO","PPP","TOT","NATUSD","A","2020",0.898371,
"GEO","PPP","TOT","NATUSD","A","2021",0.950974,
"CMR","PPP","TOT","NATUSD","A","2019",230.273904,
"CMR","PPP","TOT","NATUSD","A","2020",229.137013,
"CMR","PPP","TOT","NATUSD","A","2021",227.378726,
"SEN","PPP","TOT","NATUSD","A","2019",239.649156,
"SEN","PPP","TOT","NATUSD","A","2020",240.31656,
"SEN","PPP","TOT","NATUSD","A","2021",236.380142,
